feature_id,definition,baseline,aggregation,production_role,current_diagnostic_coverage,selection_status
mean_temperature,seasonal_and_crop-window_mean_temperature,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,joint_climate_driver,covered,not_frozen
seasonal_precipitation_quantity,crop-season_total_precipitation,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,amount_benchmark_and_quantity_contrast,covered,not_frozen
stage_precipitation_quantity,crop-window_precipitation_totals,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,stage_amount_heterogeneity,covered_with_temporal_proxy_windows,not_frozen
normalized_stage_distribution_and_timing,stage_shares_timing_centroid_and_concentration_conditional_on_total,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,within-season_distribution_contrast,partial_stage_totals_only,not_frozen
wet_day_frequency,wet-day_count_or_fraction_under_a_registered_definition,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,rainfall_occurrence_conditional_on_amount,omitted,not_frozen
wet_day_intensity,precipitation_per_wet_day_under_a_registered_definition,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,conditional_rainfall_intensity,omitted,not_frozen
consecutive_dry_days,seasonal_and_crop-window_maximum_consecutive_dry_days,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,dry-spell_persistence,covered,not_frozen
rx1day_wet_extreme,seasonal_and_crop-window_maximum_one-day_precipitation,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,single-day_excess-water_exposure,covered,not_frozen
rx5day_wet_extreme,seasonal_and_crop-window_maximum_five-day_precipitation,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,multi-day_excess-water_exposure,omitted,not_frozen
heat_extremes,crop-specific_hot-day_counts_and_degree-day_excess_at_registered_thresholds,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,joint_heat_driver,omitted,not_frozen
temperature_precipitation_interactions,registered_temperature-by-water_quantity_pattern_or_extreme_terms,documented_historical_period,evaluate_crop_response_before_FUND_aggregation,joint_heat-water_response,covered_for_mean_temperature_by_log_total_only,not_frozen
climatic_water_balance,SPEI_or_defensible_self-calibrated_PDSI_family,training-only_fixed_calibration_period,evaluate_separately_before_FUND_aggregation,competing_drought_robustness_family,historical_scpdsi_candidates_constructed_1982_1989_and_2012_2016_not_fitted_or_projectable,not_frozen
soil_moisture,antecedent_and_crop-window_root-zone_soil-moisture_anomaly,documented_historical_period,evaluate_separately_before_FUND_aggregation,competing_physical-mediator_family,omitted,not_frozen
