dataset_id,file_id,model,climate_forcing,period,climate_scenario,soc_scenario,version,start_year,end_year,bytes,sha512,file_url,acquisition_stage
3f607ba1-202a-46b4-85e0-2778a20076f7,a3d0f99f-d32d-4d45-8a10-fe162ec44378,boats,gfdl-esm4,future,picontrol,2015soc-from-histsoc,20210906,2015,2100,153642534,9f9541ccdf842823e168b33387510021bd72ee1408b25fa305d467ddadb8a6f1e9f75ab2398138b855857f82ff0555a2c1c9f87555facf926e598a06fa8780ad,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/gfdl-esm4/future/boats_gfdl-esm4_nobasd_picontrol_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
c9578f50-936c-47e4-9f04-ebc1c4cd559d,a9bb36dc-6e8e-42e4-bbe5-e42efc13bb79,boats,gfdl-esm4,future,ssp126,2015soc-from-histsoc,20210906,2015,2100,153855617,05308c6cedc17e284d2fa825533f1c8e3365c145bc196dcf5f71727f5bce34c1b4ce8fefbbcf4eecc427c720d02b2689c4f57cbf0756b6c7339fffb15aa04f9e,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/gfdl-esm4/future/boats_gfdl-esm4_nobasd_ssp126_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,content_smoke
3f9cefda-33a4-42f7-91ee-06faa58ce0e3,1685b294-da06-42b7-a158-12fcfe493fb9,boats,gfdl-esm4,future,ssp585,2015soc-from-histsoc,20210906,2015,2100,153750026,f3619e582b5d35f15f5a51a9580f1596342d3b99e1d5f859528e339624487f794c34cad6fc4a6b9d70f78013014523141bbeac69087063dccf14dc3e60f7df13,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/gfdl-esm4/future/boats_gfdl-esm4_nobasd_ssp585_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
69c69981-0aef-42cb-9d9e-2ebaa423cdb7,7aed5a47-5cd9-423b-9a9d-1b06d1f64794,boats,gfdl-esm4,historical,historical,histsoc,20210906,1950,2014,90012681,2ca08c5d40413e437b7d7215acf3029c2f69613e8afdce847a5aa62d8aaad0b658347557374a17daae43d6957a56e9aee6597b9fb4c8b4737ed7e1f578101411,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/gfdl-esm4/historical/boats_gfdl-esm4_nobasd_historical_histsoc_default_tc_global_monthly_1950_2014.nc,content_smoke
a711aa7d-84a6-4ac3-ae07-1414c63db8f5,ecc35d97-4ce9-4c0e-a995-15401db4cde3,boats,gfdl-esm4,historical,picontrol,histsoc,20210906,1950,2014,90196384,083e55e0f05c48b7e600b2df5bf05695692d0f934cfc581da5b57c04af491d1a8d479b7a2bad16cff75ffad21e312489b7e340b26a532f5056a29889ec3a6155,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/gfdl-esm4/historical/boats_gfdl-esm4_nobasd_picontrol_histsoc_default_tc_global_monthly_1950_2014.nc,deferred_full_matrix
9570784b-dccc-454f-9f9e-0c3561fae6e8,e0344c44-dfd7-4264-80ab-3e2c4afeb3a5,boats,ipsl-cm6a-lr,future,picontrol,2015soc-from-histsoc,20210906,2015,2100,136301660,29fcd31bd787545a41c4caab66c5b46bb0dad6a341d955bf8f9ced49eb5e6de242cc5902c8c516a184b61186dcf48d14e53c88e94761d82e2e42d6752a475298,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/ipsl-cm6a-lr/future/boats_ipsl-cm6a-lr_nobasd_picontrol_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
8df400e5-3382-4787-8a1f-811c12d7a0f3,0ba25305-2da9-4a2b-80c2-f54923b8bd8a,boats,ipsl-cm6a-lr,future,ssp126,2015soc-from-histsoc,20210906,2015,2100,137262318,1cbf04f784b986d6733094f01c2df25641e8dbeeea17711e61e319d729745f713646de3457b7c5f93dd42c884b1e6264842f87102cfff47e7216a94a60094eef,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/ipsl-cm6a-lr/future/boats_ipsl-cm6a-lr_nobasd_ssp126_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
3e0e5bba-7992-479b-80d5-f79e7aa922af,0478f5d5-fc15-4425-8e37-f490c6fdb60b,boats,ipsl-cm6a-lr,future,ssp585,2015soc-from-histsoc,20210906,2015,2100,137262423,2bfb857e9bc71818a7c2b8acdeda662ef0c3ef3c035ccb4b1d0eab07319503530343c7d17bf946d013040687c776d53325b09ad22829488e83aa135a456ee447,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/ipsl-cm6a-lr/future/boats_ipsl-cm6a-lr_nobasd_ssp585_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
a8aec753-718d-4a4a-a205-e6f7e751381c,18d0eccd-398c-4080-8400-744be23091ea,boats,ipsl-cm6a-lr,historical,historical,histsoc,20210906,1950,2014,70395110,3d618ab7472077f611ef655dbc5a52e1bacd00d4e21fca7c78aec2e220851821cb43a8d172fd0b73dd24e6b68d20ab04b8538df44e6687d8e4abc3f66b1ff225,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/ipsl-cm6a-lr/historical/boats_ipsl-cm6a-lr_nobasd_historical_histsoc_default_tc_global_monthly_1950_2014.nc,deferred_full_matrix
a8cc7c17-2461-4992-aad1-6b208fae8fe7,e1665b4c-b700-441d-924e-46ddd14b8405,boats,ipsl-cm6a-lr,historical,picontrol,histsoc,20210906,1950,2014,70398404,be4971d6508aed370a02e055859c928309d56373409ab088f0bcaa2ded91b5ffe7919740e9e8809cf6743281d0667bbeb3a0584987635f706e7bf076f7bfa542,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/BOATS/ipsl-cm6a-lr/historical/boats_ipsl-cm6a-lr_nobasd_picontrol_histsoc_default_tc_global_monthly_1950_2014.nc,deferred_full_matrix
7f99615e-b4b2-4ae7-bbd3-882474fc195d,4498a536-db3d-41ce-8d2e-e5dd8f3b39f1,ecoocean,gfdl-esm4,future,picontrol,2015soc-from-histsoc,20230317,2015,2100,153136364,e645c805f0aa17c196156813cdaef8a7209faa0ed9207d2be05aaf3988ee19931fcc937b7fa56b1db871d062baf9a2068fa2eb848591dfcb99b93b0ab44aac8f,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/gfdl-esm4/future/ecoocean_gfdl-esm4_nobasd_picontrol_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
35d3f80f-927f-4392-a1a5-3f8675e653ff,646474d8-26c8-48cb-bfe5-326a7a0841b4,ecoocean,gfdl-esm4,future,ssp126,2015soc-from-histsoc,20230317,2015,2100,153678794,eecf2457bc049c27e1cb0c8f2e1f7dd8e75a896a3ca89d651aa76b6f024bd73585906329983a0d2ebf44cf145da73e116c863cadd923c4a61fe395a49deb9cb8,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/gfdl-esm4/future/ecoocean_gfdl-esm4_nobasd_ssp126_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,content_smoke
2a7919e0-5b23-4de6-bbfa-0c909edd697c,ca4d62e5-a24e-42e4-813a-11c144fa1022,ecoocean,gfdl-esm4,future,ssp585,2015soc-from-histsoc,20230317,2015,2100,153831737,6a8250ff252993492a75fb81592a47f556bbb844703424fc2ded197939399f069e87ca20bd5134f238aab2998552618706a4c88f7a6c7e634e62bd3e37ab9cc1,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/gfdl-esm4/future/ecoocean_gfdl-esm4_nobasd_ssp585_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
c44f8259-1883-48ec-9389-cb4a6601471c,4767a51a-430f-464f-8510-279523451453,ecoocean,gfdl-esm4,historical,historical,histsoc,20230317,1950,2014,116279679,d1da9d46305f9f53f88c0a5e7d9971b16bfb86bd14c2ce44964fd19473e9390e35a99fa1091956ad79456c87dc0f1f154fe416e59710ad9b7c720a90501cf420,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/gfdl-esm4/historical/ecoocean_gfdl-esm4_nobasd_historical_histsoc_default_tc_global_monthly_1950_2014.nc,content_smoke
847b54f3-4ad8-41f3-92a4-d2d32b9841c0,841b87f6-8a38-4e1d-b6f3-b6e392a9894e,ecoocean,gfdl-esm4,historical,picontrol,histsoc,20230317,1950,2014,116388372,50997d5015be2e8d9ada24b8267858bfa5f7e598965fc6a3c0c05d21b1e7e2a083636e113fd7b0044f0ac43f47db00ef50a197cf3bd1459471021fa11526a816,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/gfdl-esm4/historical/ecoocean_gfdl-esm4_nobasd_picontrol_histsoc_default_tc_global_monthly_1950_2014.nc,deferred_full_matrix
eea9eedb-ec5d-4db5-9383-e0cbf0fb72e7,000bb173-2911-4872-8a9a-7e673835cee0,ecoocean,ipsl-cm6a-lr,future,picontrol,2015soc-from-histsoc,20230317,2015,2100,154618055,74a8c33e84abcdbaf8c80f89b79b576ccc59f36c1f58c857875b4683f9859ca3a22194f3eda78d1f6b456850aaaf212560479acf868dcf454d2c6a7b278d8128,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/ipsl-cm6a-lr/future/ecoocean_ipsl-cm6a-lr_nobasd_picontrol_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
651dc3b4-3c7e-4663-a4c5-17d61b91e144,1a863da4-9034-4e23-a2da-0fd23a0f6d36,ecoocean,ipsl-cm6a-lr,future,ssp126,2015soc-from-histsoc,20230317,2015,2100,154779013,a8928dd3bef052e48d6a5b4180fd8d988efdb38c4d788e46ae193da056e8699f9e79a1bb6ffa594fa37f9990fe88139820b6905ffbf4aad6658726736a66c359,https://files.isimip.org/ISIMIP3b/OutputData/marine-fishery_global/EcoOcean/ipsl-cm6a-lr/future/ecoocean_ipsl-cm6a-lr_nobasd_ssp126_2015soc-from-histsoc_default_tc_global_monthly_2015_2100.nc,deferred_full_matrix
