country_id,country_name,give_region_id,mapping_version
ABW,Aruba,SIS,give_rennert_2022_v1
AFG,Afghanistan,SAS,give_rennert_2022_v1
AGO,Angola,SSA,give_rennert_2022_v1
ALB,Albania,EEU,give_rennert_2022_v1
ARE,United Arab Emirates,MDE,give_rennert_2022_v1
ARG,Argentina,LAM,give_rennert_2022_v1
ARM,Armenia,FSU,give_rennert_2022_v1
AUS,Australia,ANZ,give_rennert_2022_v1
AUT,Austria,WEU,give_rennert_2022_v1
AZE,Azerbaijan,FSU,give_rennert_2022_v1
BDI,Burundi,SSA,give_rennert_2022_v1
BEL,Belgium,WEU,give_rennert_2022_v1
BEN,Benin,SSA,give_rennert_2022_v1
BFA,Burkina Faso,SSA,give_rennert_2022_v1
BGD,Bangladesh,SAS,give_rennert_2022_v1
BGR,Bulgaria,EEU,give_rennert_2022_v1
BHR,Bahrain,MDE,give_rennert_2022_v1
BHS,Bahamas,SIS,give_rennert_2022_v1
BIH,Bosnia and Herzegovina,EEU,give_rennert_2022_v1
BLR,Belarus,FSU,give_rennert_2022_v1
BLZ,Belize,CAM,give_rennert_2022_v1
BOL,Bolivia,LAM,give_rennert_2022_v1
BRA,Brazil,LAM,give_rennert_2022_v1
BRB,Barbados,SIS,give_rennert_2022_v1
BRN,Brunei,SEA,give_rennert_2022_v1
BTN,Bhutan,SAS,give_rennert_2022_v1
BWA,Botswana,SSA,give_rennert_2022_v1
CAF,Central African Republic,SSA,give_rennert_2022_v1
CAN,Canada,CAN,give_rennert_2022_v1
CHE,Switzerland,WEU,give_rennert_2022_v1
CHL,Chile,LAM,give_rennert_2022_v1
CHN,China,CHI,give_rennert_2022_v1
CIV,Côte d'Ivoire,SSA,give_rennert_2022_v1
CMR,Cameroon,SSA,give_rennert_2022_v1
COD,"Congo, the Democratic Republic of the",SSA,give_rennert_2022_v1
COG,Congo,SSA,give_rennert_2022_v1
COL,Colombia,LAM,give_rennert_2022_v1
COM,Comoros,SIS,give_rennert_2022_v1
CPV,Cape Verde,SSA,give_rennert_2022_v1
CRI,Costa Rica,CAM,give_rennert_2022_v1
CUB,Cuba,SIS,give_rennert_2022_v1
CYP,Cyprus,WEU,give_rennert_2022_v1
CZE,Czech Republic,EEU,give_rennert_2022_v1
DEU,Germany,WEU,give_rennert_2022_v1
DJI,Djibouti,SSA,give_rennert_2022_v1
DNK,Denmark,WEU,give_rennert_2022_v1
DOM,Dominican Republic,SIS,give_rennert_2022_v1
DZA,Algeria,MAF,give_rennert_2022_v1
ECU,Ecuador,LAM,give_rennert_2022_v1
EGY,Egypt,MAF,give_rennert_2022_v1
ERI,Eritrea,SSA,give_rennert_2022_v1
ESP,Spain,WEU,give_rennert_2022_v1
EST,Estonia,FSU,give_rennert_2022_v1
ETH,Ethiopia,SSA,give_rennert_2022_v1
FIN,Finland,WEU,give_rennert_2022_v1
FJI,Fiji,SIS,give_rennert_2022_v1
FRA,France,WEU,give_rennert_2022_v1
GAB,Gabon,SSA,give_rennert_2022_v1
GBR,United Kingdom,WEU,give_rennert_2022_v1
GEO,Georgia,FSU,give_rennert_2022_v1
GHA,Ghana,SSA,give_rennert_2022_v1
GIN,Guinea,SSA,give_rennert_2022_v1
GMB,Gambia,SSA,give_rennert_2022_v1
GNB,Guinea-Bissau,SSA,give_rennert_2022_v1
GNQ,Equatorial Guinea,SSA,give_rennert_2022_v1
GRC,Greece,WEU,give_rennert_2022_v1
GTM,Guatemala,CAM,give_rennert_2022_v1
GUY,Guyana,LAM,give_rennert_2022_v1
HKG,Hong Kong,CHI,give_rennert_2022_v1
HND,Honduras,CAM,give_rennert_2022_v1
HRV,Croatia,EEU,give_rennert_2022_v1
HTI,Haiti,SIS,give_rennert_2022_v1
HUN,Hungary,EEU,give_rennert_2022_v1
IDN,Indonesia,SEA,give_rennert_2022_v1
IND,India,SAS,give_rennert_2022_v1
IRL,Ireland,WEU,give_rennert_2022_v1
IRN,"Iran, Islamic Republic of",MDE,give_rennert_2022_v1
IRQ,Iraq,MDE,give_rennert_2022_v1
ISL,Iceland,WEU,give_rennert_2022_v1
ISR,Israel,MDE,give_rennert_2022_v1
ITA,Italy,WEU,give_rennert_2022_v1
JAM,Jamaica,SIS,give_rennert_2022_v1
JOR,Jordan,MDE,give_rennert_2022_v1
JPN,Japan,JPK,give_rennert_2022_v1
KAZ,Kazakhstan,FSU,give_rennert_2022_v1
KEN,Kenya,SSA,give_rennert_2022_v1
KGZ,Kyrgyzstan,FSU,give_rennert_2022_v1
KHM,Cambodia,SEA,give_rennert_2022_v1
KOR,"Korea, Republic of",JPK,give_rennert_2022_v1
