forcing,member,scenario,variable,dataset_id,dataset_name,version,size_bytes,file_count,first_year,last_year,rights,public,restricted,resource_doi
gfdl-esm4,r1i1p1f1,historical,pr,3b37bbd1-d18d-4283-9e96-bf429c02479c,gfdl-esm4_r1i1p1f1_w5e5_historical_pr_global_daily,20210512,34241455833,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,historical,tas,ecf92220-2f67-41d9-a427-a3ebef1255e9,gfdl-esm4_r1i1p1f1_w5e5_historical_tas_global_daily,20210512,33933088562,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,historical,tasmax,ad8ae7de-b41e-4f69-b683-daa5c0f21509,gfdl-esm4_r1i1p1f1_w5e5_historical_tasmax_global_daily,20210512,34107894953,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,historical,tasmin,ee8abd48-8040-4b30-8741-c62cea0d9a62,gfdl-esm4_r1i1p1f1_w5e5_historical_tasmin_global_daily,20210512,34306009815,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp126,pr,24cb1007-3c96-4b59-a0dc-42d94a8cff8c,gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_global_daily,20210512,17865489318,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp126,tas,f741da2d-9d21-4c86-be9b-484396303e33,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,17657319495,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp126,tasmax,6802d6a9-1d1b-4d58-b436-b47ce82cec6f,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tasmax_global_daily,20210512,17761240936,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp126,tasmin,c1e40f1b-a641-4542-a0a6-d483ad9e9792,gfdl-esm4_r1i1p1f1_w5e5_ssp126_tasmin_global_daily,20210512,17855081249,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp370,pr,5fe132b1-6f3e-4a9d-a613-ac3752109e03,gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_global_daily,20210512,17861203934,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp370,tas,5614ea49-3a01-4fad-85d2-baea38727038,gfdl-esm4_r1i1p1f1_w5e5_ssp370_tas_global_daily,20210512,17652468695,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp370,tasmax,3468cadb-6fb2-43cb-8ad3-bced7aab8723,gfdl-esm4_r1i1p1f1_w5e5_ssp370_tasmax_global_daily,20210512,17755892447,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp370,tasmin,1d909df4-d6f1-4820-9cf5-9b37c985ab82,gfdl-esm4_r1i1p1f1_w5e5_ssp370_tasmin_global_daily,20210512,17834880537,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
gfdl-esm4,r1i1p1f1,ssp585,pr,4beceb4b-4626-4026-96d1-6d3544981eb4,gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_global_daily,20210512,17884090883,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
