esm,scenario,center_year,crop,irrigation,rows,rho|wet_logit|rx1_given_rx5_logit
GFDL-ESM4,ssp126,2042,mai,firr,686,-0.282435563565624
GFDL-ESM4,ssp126,2042,mai,noirr,686,-0.274288475384148
GFDL-ESM4,ssp126,2042,ri1,firr,686,-0.330551253702503
GFDL-ESM4,ssp126,2042,ri1,noirr,686,-0.330551253702503
GFDL-ESM4,ssp126,2042,ri2,firr,408,-0.397826380507243
GFDL-ESM4,ssp126,2042,ri2,noirr,408,-0.397826380507243
GFDL-ESM4,ssp126,2042,soy,firr,686,-0.403924890228914
GFDL-ESM4,ssp126,2042,soy,noirr,686,-0.356859768936261
GFDL-ESM4,ssp126,2042,swh,firr,686,-0.395474027167675
GFDL-ESM4,ssp126,2042,swh,noirr,686,-0.392629827837116
GFDL-ESM4,ssp126,2042,wwh,firr,686,-0.702411806604271
GFDL-ESM4,ssp126,2042,wwh,noirr,686,-0.663117985077803
GFDL-ESM4,ssp126,2043,mai,firr,686,-0.272724716342515
GFDL-ESM4,ssp126,2043,mai,noirr,686,-0.266003518597579
GFDL-ESM4,ssp126,2043,ri1,firr,686,-0.322736868047237
GFDL-ESM4,ssp126,2043,ri1,noirr,686,-0.322736868047237
GFDL-ESM4,ssp126,2043,ri2,firr,408,-0.407652310193545
GFDL-ESM4,ssp126,2043,ri2,noirr,408,-0.407652310193545
GFDL-ESM4,ssp126,2043,soy,firr,686,-0.388104748357149
GFDL-ESM4,ssp126,2043,soy,noirr,686,-0.343603769636383
GFDL-ESM4,ssp126,2043,swh,firr,686,-0.407047062073484
GFDL-ESM4,ssp126,2043,swh,noirr,686,-0.412743261001775
GFDL-ESM4,ssp126,2043,wwh,firr,686,-0.705544914492717
GFDL-ESM4,ssp126,2043,wwh,noirr,686,-0.667269668701531
GFDL-ESM4,ssp126,2044,mai,firr,686,-0.254000960753052
GFDL-ESM4,ssp126,2044,mai,noirr,686,-0.249800421610241
GFDL-ESM4,ssp126,2044,ri1,firr,686,-0.292509398024144
GFDL-ESM4,ssp126,2044,ri1,noirr,686,-0.292509398024144
GFDL-ESM4,ssp126,2044,ri2,firr,408,-0.391234032197403
GFDL-ESM4,ssp126,2044,ri2,noirr,408,-0.391234032197403
GFDL-ESM4,ssp126,2044,soy,firr,686,-0.361720387564198
GFDL-ESM4,ssp126,2044,soy,noirr,686,-0.315328987310095
GFDL-ESM4,ssp126,2044,swh,firr,686,-0.393021822917348
GFDL-ESM4,ssp126,2044,swh,noirr,686,-0.392077681239268
GFDL-ESM4,ssp126,2044,wwh,firr,686,-0.698467211890264
GFDL-ESM4,ssp126,2044,wwh,noirr,686,-0.667115673511203
GFDL-ESM4,ssp126,2045,mai,firr,686,-0.25909525173544
