esm,scenario,center_year,rows,rho|tmean_c|log_precip,rho|tmean_c|wet_logit,rho|tmean_c|cdd_logit,rho|tmean_c|rx5_share_logit,rho|tmean_c|rx1_given_rx5_logit,rho|tmean_c|stage_alr1,rho|tmean_c|stage_alr2,rho|log_precip|wet_logit,rho|log_precip|cdd_logit,rho|log_precip|rx5_share_logit,rho|log_precip|rx1_given_rx5_logit,rho|log_precip|stage_alr1,rho|log_precip|stage_alr2,rho|wet_logit|cdd_logit,rho|wet_logit|rx5_share_logit,rho|wet_logit|rx1_given_rx5_logit,rho|wet_logit|stage_alr1,rho|wet_logit|stage_alr2,rho|cdd_logit|rx5_share_logit,rho|cdd_logit|rx1_given_rx5_logit,rho|cdd_logit|stage_alr1,rho|cdd_logit|stage_alr2,rho|rx5_share_logit|rx1_given_rx5_logit,rho|rx5_share_logit|stage_alr1,rho|rx5_share_logit|stage_alr2,rho|rx1_given_rx5_logit|stage_alr1,rho|rx1_given_rx5_logit|stage_alr2,rho|stage_alr1|stage_alr2
GFDL-ESM4,ssp126,2042,7676,-0.235238368972377,-0.18402066109716,0.296027299905739,0.500091408398128,0.23483880621672,0.219198934346851,0.139623580829427,0.9190700959898,-0.937191256209212,-0.855867037716225,-0.278981785830448,-0.00891262431310042,0.168553176056926,-0.925531218438323,-0.821219926193004,-0.411460148379687,0.0705883732035533,0.255098358935908,0.892533089558208,0.244767729010758,0.0984393049977476,-0.170719740116674,0.370539177511686,-0.0218644653779878,-0.194633568997833,-0.363872015105817,-0.262485244851049,0.617411495648601
GFDL-ESM4,ssp126,2043,7676,-0.229995507990171,-0.179985191787561,0.289397080786534,0.500259688489297,0.231388584349735,0.21562652701586,0.149117045862255,0.918919355758954,-0.934636245956781,-0.852769184374759,-0.281787642330588,-0.00452096851328486,0.185036519382646,-0.921073960933092,-0.819160121927789,-0.411952992715081,0.0718945391397103,0.272213724628425,0.88703171481567,0.238968667111491,0.107433715003103,-0.176218925870122,0.373238992942565,-0.0233153197932453,-0.202964147561111,-0.364006843273718,-0.270813082017564,0.628508019190637
GFDL-ESM4,ssp126,2044,7676,-0.22699544980125,-0.181554996818983,0.29307673925043,0.500944009873831,0.248749308850403,0.214639631837172,0.145015616326407,0.91919647693441,-0.932355024230168,-0.850906651169775,-0.261486386304093,-0.0159494637926718,0.171498159398664,-0.91835733808444,-0.819180442455636,-0.391709382146533,0.0575034033168161,0.258514360014408,0.886731777648355,0.214920975042928,0.125568237895226,-0.158715154282675,0.363672323661499,-0.0121345225470364,-0.193522677200236,-0.360659891759695,-0.251805926879623,0.624814264755286
GFDL-ESM4,ssp126,2045,7676,-0.22473835087869,-0.181580719958585,0.293708327940963,0.501066868264582,0.252936944893204,0.190203733459514,0.136850333820833,0.918941255216654,-0.93448880530761,-0.847723146073271,-0.259968691553616,-0.0101395555976398,0.180440582265424,-0.919540774438295,-0.816623582202521,-0.393009806412032,0.0609266679408526,0.269194050329275,0.888307090295724,0.218885443002667,0.110849835452601,-0.172699677722547,0.354010410034316,-0.0311333192361789,-0.206718856078724,-0.342978250492934,-0.2435837753351,0.634709320611428
GFDL-ESM4,ssp126,2046,7676,-0.22283224591778,-0.176028117086169,0.289472518260865,0.49630194365943,0.267813414000106,0.192296828940557,0.143557906632778,0.920268677817649,-0.934052334555993,-0.847126581576607,-0.251713711630447,-0.0235009024771518,0.171322377884489,-0.920921377446695,-0.817345271838777,-0.38030337560041,0.0531354359012405,0.26432934127047,0.890287746912704,0.214999330830751,0.118831456210161,-0.166510974607747,0.355063773562396,-0.0162613783563939,-0.192716074000317,-0.34522765395071,-0.24649672371479,0.635501921581297
GFDL-ESM4,ssp126,2047,7676,-0.225987476295144,-0.178162782941238,0.296044123202033,0.497077635245401,0.267297170416676,0.183238654782335,0.122006232397183,0.921428999677274,-0.93338124617653,-0.847478796001688,-0.271601473822588,-0.0213855418103016,0.197219855149556,-0.920920906384311,-0.81426457784317,-0.404606616563199,0.0492257632648062,0.285423383383074,0.889345012540039,0.236714523353591,0.115418605393117,-0.191831830716122,0.369919762784668,-0.0216240126757119,-0.220733906973026,-0.333674079609118,-0.258093857215107,0.621608419917577
GFDL-ESM4,ssp126,2048,7676,-0.224640048400543,-0.176179951942964,0.298291918067378,0.49450066082165,0.25637449156748,0.199255913154881,0.129148062984154,0.919891986138429,-0.932991416952918,-0.849065079508002,-0.240964335637973,-0.0231263334522874,0.197331046611678,-0.91830113907527,-0.815362298543641,-0.381068823284058,0.0496175923754039,0.284768880426074,0.889922644110235,0.207453339462796,0.114077105428916,-0.192834495213644,0.348703355709081,-0.0180544381166936,-0.215549846993779,-0.340364344825706,-0.249820627413396,0.62202846139929
GFDL-ESM4,ssp126,2049,7676,-0.223280985192137,-0.17358662747726,0.292790077738451,0.489653463616629,0.246287542040122,0.205807152296492,0.130986079995251,0.917352956126062,-0.933866689064755,-0.849748335402878,-0.227185183898075,-0.0294658587555685,0.180096590945576,-0.915681611791706,-0.812865935695424,-0.374781625724182,0.0469474586375106,0.273293620664273,0.890039388990316,0.196096255194029,0.115571309053461,-0.176534129589158,0.332481288197302,-0.0183166962647595,-0.209717476319632,-0.320768789177172,-0.26604807478897,0.6385847270243
GFDL-ESM4,ssp370,2042,7676,-0.26414394268197,-0.212350823530156,0.325903977153035,0.515376053193445,0.305077329655826,0.203620189465078,0.119865548554233,0.920908876734925,-0.934430082236272,-0.862958774632313,-0.247537016625658,-0.0341274760365089,0.145632848737061,-0.924296946399321,-0.834682811012858,-0.345181478262816,0.0392091782630523,0.237069098816372,0.914763648868342,0.22143808055996,0.120163271996461,-0.163645076176791,0.335634900322444,0.0209619600313387,-0.17536744312421,-0.317471471878334,-0.267124117493277,0.632197668640004
GFDL-ESM4,ssp370,2043,7676,-0.267892318645103,-0.214829036175253,0.329260847870366,0.516455997266467,0.30321270377783,0.205736033764177,0.128733353133132,0.919300307177016,-0.933255513408699,-0.862172099300227,-0.240136959029863,-0.0295577453820706,0.130753698874863,-0.923331220405078,-0.837850602612915,-0.328626979171034,0.0483460668190537,0.224405582787525,0.917760913198762,0.210102562820491,0.115632675775889,-0.148651585499758,0.327264428304735,0.0296069870833256,-0.15507859982258,-0.339096971144215,-0.282131332307703,0.643706456502512
