"scenario","dr_label","prtp","eta","trial","scc_2020usd_per_tco2"
"baseline","1.5%",9.150024589210659e-5,1.01601,1,348.31277068899584
"baseline","1.5%",9.150024589210659e-5,1.01601,2,574.9700450370332
"baseline","1.5%",9.150024589210659e-5,1.01601,3,347.93064182635834
"baseline","1.5%",9.150024589210659e-5,1.01601,4,276.4453721845235
"baseline","1.5%",9.150024589210659e-5,1.01601,5,597.0608542542408
"baseline","1.5%",9.150024589210659e-5,1.01601,6,249.52642448085308
"baseline","1.5%",9.150024589210659e-5,1.01601,7,221.57819889067218
"baseline","1.5%",9.150024589210659e-5,1.01601,8,594.4894032910021
"baseline","1.5%",9.150024589210659e-5,1.01601,9,221.85722052437652
"baseline","1.5%",9.150024589210659e-5,1.01601,10,131.46067707581645
"baseline","1.5%",9.150024589210659e-5,1.01601,11,1124.6996720401544
"baseline","1.5%",9.150024589210659e-5,1.01601,12,383.1982204456802
"baseline","1.5%",9.150024589210659e-5,1.01601,13,305.1224140397239
"baseline","1.5%",9.150024589210659e-5,1.01601,14,215.6622077062251
"baseline","1.5%",9.150024589210659e-5,1.01601,15,99.42159819118157
"baseline","1.5%",9.150024589210659e-5,1.01601,16,288.4452145447023
"baseline","1.5%",9.150024589210659e-5,1.01601,17,125.83200053471079
"baseline","1.5%",9.150024589210659e-5,1.01601,18,410.7326586968891
"baseline","1.5%",9.150024589210659e-5,1.01601,19,281.41042038295444
"baseline","1.5%",9.150024589210659e-5,1.01601,20,341.96408058358116
"baseline","1.5%",9.150024589210659e-5,1.01601,21,384.9230690396795
"baseline","1.5%",9.150024589210659e-5,1.01601,22,87.49272159631496
"baseline","1.5%",9.150024589210659e-5,1.01601,23,204.52431002143723
"baseline","1.5%",9.150024589210659e-5,1.01601,24,624.1613784022144
"baseline","1.5%",9.150024589210659e-5,1.01601,25,349.84796668151154
"baseline","1.5%",9.150024589210659e-5,1.01601,26,69.29844643453741
"baseline","1.5%",9.150024589210659e-5,1.01601,27,203.41420105247107
"baseline","1.5%",9.150024589210659e-5,1.01601,28,255.24855715959146
"baseline","1.5%",9.150024589210659e-5,1.01601,29,383.8107655822773
"baseline","1.5%",9.150024589210659e-5,1.01601,30,169.949497290641
"baseline","1.5%",9.150024589210659e-5,1.01601,31,190.30155297187898
"baseline","1.5%",9.150024589210659e-5,1.01601,32,200.081603912139
"baseline","1.5%",9.150024589210659e-5,1.01601,33,200.78173670829173
"baseline","1.5%",9.150024589210659e-5,1.01601,34,286.87267202833135
"baseline","1.5%",9.150024589210659e-5,1.01601,35,360.701292028261
"baseline","1.5%",9.150024589210659e-5,1.01601,36,120.27857407159216
"baseline","1.5%",9.150024589210659e-5,1.01601,37,295.01318215973924
"baseline","1.5%",9.150024589210659e-5,1.01601,38,485.1911960906095
"baseline","1.5%",9.150024589210659e-5,1.01601,39,174.08800285088526
"baseline","1.5%",9.150024589210659e-5,1.01601,40,257.40322318193097
"baseline","1.5%",9.150024589210659e-5,1.01601,41,527.4706267373228
"baseline","1.5%",9.150024589210659e-5,1.01601,42,433.2388935263837
"baseline","1.5%",9.150024589210659e-5,1.01601,43,234.71281878867754
"baseline","1.5%",9.150024589210659e-5,1.01601,44,1054.1863727003297
"baseline","1.5%",9.150024589210659e-5,1.01601,45,317.06650306570054
"baseline","1.5%",9.150024589210659e-5,1.01601,46,143.95139358322703
"baseline","1.5%",9.150024589210659e-5,1.01601,47,235.7023962554025
"baseline","1.5%",9.150024589210659e-5,1.01601,48,131.1845992165962
"baseline","1.5%",9.150024589210659e-5,1.01601,49,279.1359469173649
"baseline","1.5%",9.150024589210659e-5,1.01601,50,209.4078982366959
"baseline","1.5%",9.150024589210659e-5,1.01601,51,217.04844791990988
"baseline","1.5%",9.150024589210659e-5,1.01601,52,353.9496164563626
"baseline","1.5%",9.150024589210659e-5,1.01601,53,222.47021951660142
"baseline","1.5%",9.150024589210659e-5,1.01601,54,87.45905004469172
"baseline","1.5%",9.150024589210659e-5,1.01601,55,492.44569026043473
"baseline","1.5%",9.150024589210659e-5,1.01601,56,467.7026809152125
"baseline","1.5%",9.150024589210659e-5,1.01601,57,281.99569763609736
"baseline","1.5%",9.150024589210659e-5,1.01601,58,168.36176527325426
"baseline","1.5%",9.150024589210659e-5,1.01601,59,627.5724580904015
"baseline","1.5%",9.150024589210659e-5,1.01601,60,725.6456695695842
"baseline","1.5%",9.150024589210659e-5,1.01601,61,295.019860099408
"baseline","1.5%",9.150024589210659e-5,1.01601,62,247.77672499644035
"baseline","1.5%",9.150024589210659e-5,1.01601,63,313.93378004628556
"baseline","1.5%",9.150024589210659e-5,1.01601,64,276.3856237659732
"baseline","1.5%",9.150024589210659e-5,1.01601,65,53.72475514544984
"baseline","1.5%",9.150024589210659e-5,1.01601,66,148.32141460135318
"baseline","1.5%",9.150024589210659e-5,1.01601,67,381.8346184166588
"baseline","1.5%",9.150024589210659e-5,1.01601,68,916.0886857879428
"baseline","1.5%",9.150024589210659e-5,1.01601,69,196.40813353423232
"baseline","1.5%",9.150024589210659e-5,1.01601,70,265.83961997946824
"baseline","1.5%",9.150024589210659e-5,1.01601,71,195.84684552541054
"baseline","1.5%",9.150024589210659e-5,1.01601,72,861.824072253915
"baseline","1.5%",9.150024589210659e-5,1.01601,73,356.67540577190346
"baseline","1.5%",9.150024589210659e-5,1.01601,74,205.5878246921983
"baseline","1.5%",9.150024589210659e-5,1.01601,75,348.14891546991896
"baseline","1.5%",9.150024589210659e-5,1.01601,76,302.40173117290954
"baseline","1.5%",9.150024589210659e-5,1.01601,77,428.71185643362975
"baseline","1.5%",9.150024589210659e-5,1.01601,78,188.21349675679
"baseline","1.5%",9.150024589210659e-5,1.01601,79,474.6507826427594
"baseline","1.5%",9.150024589210659e-5,1.01601,80,251.8014415882849
"baseline","1.5%",9.150024589210659e-5,1.01601,81,174.54537488189274
"baseline","1.5%",9.150024589210659e-5,1.01601,82,301.37091962581354
"baseline","1.5%",9.150024589210659e-5,1.01601,83,200.71612750848846
"baseline","1.5%",9.150024589210659e-5,1.01601,84,222.09907823640296
"baseline","1.5%",9.150024589210659e-5,1.01601,85,672.8287110701361
"baseline","1.5%",9.150024589210659e-5,1.01601,86,726.2801033273025
"baseline","1.5%",9.150024589210659e-5,1.01601,87,329.1830385107691
"baseline","1.5%",9.150024589210659e-5,1.01601,88,193.5671205565852
"baseline","1.5%",9.150024589210659e-5,1.01601,89,397.7606703023685
"baseline","1.5%",9.150024589210659e-5,1.01601,90,17.897242678541122
"baseline","1.5%",9.150024589210659e-5,1.01601,91,176.119588637525
"baseline","1.5%",9.150024589210659e-5,1.01601,92,284.0043036935599
"baseline","1.5%",9.150024589210659e-5,1.01601,93,417.4869616389721
"baseline","1.5%",9.150024589210659e-5,1.01601,94,246.7739422182298
"baseline","1.5%",9.150024589210659e-5,1.01601,95,257.1304510246791
"baseline","1.5%",9.150024589210659e-5,1.01601,96,336.77115089712834
"baseline","1.5%",9.150024589210659e-5,1.01601,97,106.20787957377313
"baseline","1.5%",9.150024589210659e-5,1.01601,98,395.73340590053533
"baseline","1.5%",9.150024589210659e-5,1.01601,99,624.2889889501524
"baseline","1.5%",9.150024589210659e-5,1.01601,100,172.613137147422
"baseline","2.5%",0.004629467024013456,1.421158088,1,150.00936694683386
"baseline","2.5%",0.004629467024013456,1.421158088,2,228.406387254884
"baseline","2.5%",0.004629467024013456,1.421158088,3,77.16229461402078
"baseline","2.5%",0.004629467024013456,1.421158088,4,94.72758427637137
"baseline","2.5%",0.004629467024013456,1.421158088,5,218.96566621767388
"baseline","2.5%",0.004629467024013456,1.421158088,6,125.94802807504047
"baseline","2.5%",0.004629467024013456,1.421158088,7,48.90656618922917
"baseline","2.5%",0.004629467024013456,1.421158088,8,390.0405972277433
"baseline","2.5%",0.004629467024013456,1.421158088,9,80.16515304290088
"baseline","2.5%",0.004629467024013456,1.421158088,10,27.72693122386265
"baseline","2.5%",0.004629467024013456,1.421158088,11,420.7614356655638
"baseline","2.5%",0.004629467024013456,1.421158088,12,127.60773326261184
"baseline","2.5%",0.004629467024013456,1.421158088,13,90.71667251787088
"baseline","2.5%",0.004629467024013456,1.421158088,14,51.74694084528227
"baseline","2.5%",0.004629467024013456,1.421158088,15,12.718610823170714
"baseline","2.5%",0.004629467024013456,1.421158088,16,80.08538937859852
"baseline","2.5%",0.004629467024013456,1.421158088,17,33.77452499853968
"baseline","2.5%",0.004629467024013456,1.421158088,18,214.75259522805806
"baseline","2.5%",0.004629467024013456,1.421158088,19,80.37046772542308
"baseline","2.5%",0.004629467024013456,1.421158088,20,157.60892109622483
"baseline","2.5%",0.004629467024013456,1.421158088,21,216.48234641226983
"baseline","2.5%",0.004629467024013456,1.421158088,22,31.34227202575929
"baseline","2.5%",0.004629467024013456,1.421158088,23,31.981402749479724
"baseline","2.5%",0.004629467024013456,1.421158088,24,261.82393028145674
"baseline","2.5%",0.004629467024013456,1.421158088,25,111.94830321460141
"baseline","2.5%",0.004629467024013456,1.421158088,26,7.978898591636305
"baseline","2.5%",0.004629467024013456,1.421158088,27,99.68771773033697
"baseline","2.5%",0.004629467024013456,1.421158088,28,78.82689112763062
"baseline","2.5%",0.004629467024013456,1.421158088,29,146.94383485224495
"baseline","2.5%",0.004629467024013456,1.421158088,30,51.091157714468544
"baseline","2.5%",0.004629467024013456,1.421158088,31,50.52998886682639
"baseline","2.5%",0.004629467024013456,1.421158088,32,112.82580761698433
"baseline","2.5%",0.004629467024013456,1.421158088,33,80.83926707736711
"baseline","2.5%",0.004629467024013456,1.421158088,34,52.6069573392673
"baseline","2.5%",0.004629467024013456,1.421158088,35,145.2774231392567
"baseline","2.5%",0.004629467024013456,1.421158088,36,44.501928001798184
"baseline","2.5%",0.004629467024013456,1.421158088,37,125.55676061655606
"baseline","2.5%",0.004629467024013456,1.421158088,38,243.08811884394933
"baseline","2.5%",0.004629467024013456,1.421158088,39,85.87661173739504
"baseline","2.5%",0.004629467024013456,1.421158088,40,117.06134366942122
"baseline","2.5%",0.004629467024013456,1.421158088,41,165.05967077555678
"baseline","2.5%",0.004629467024013456,1.421158088,42,122.21115285526824
"baseline","2.5%",0.004629467024013456,1.421158088,43,70.34884098943806
"baseline","2.5%",0.004629467024013456,1.421158088,44,515.227181203749
"baseline","2.5%",0.004629467024013456,1.421158088,45,76.81389901634618
"baseline","2.5%",0.004629467024013456,1.421158088,46,31.94569301841589
"baseline","2.5%",0.004629467024013456,1.421158088,47,85.35587454214213
"baseline","2.5%",0.004629467024013456,1.421158088,48,81.10024104868475
"baseline","2.5%",0.004629467024013456,1.421158088,49,56.50245937141919
"baseline","2.5%",0.004629467024013456,1.421158088,50,93.07224971073809
"baseline","2.5%",0.004629467024013456,1.421158088,51,102.85320487321665
"baseline","2.5%",0.004629467024013456,1.421158088,52,160.50251653020123
"baseline","2.5%",0.004629467024013456,1.421158088,53,68.30335589863925
"baseline","2.5%",0.004629467024013456,1.421158088,54,7.9438129870895215
"baseline","2.5%",0.004629467024013456,1.421158088,55,250.43142569653168
"baseline","2.5%",0.004629467024013456,1.421158088,56,234.95453726291282
"baseline","2.5%",0.004629467024013456,1.421158088,57,58.76971771320168
"baseline","2.5%",0.004629467024013456,1.421158088,58,53.33470342762592
"baseline","2.5%",0.004629467024013456,1.421158088,59,237.9740243765436
"baseline","2.5%",0.004629467024013456,1.421158088,60,252.98259942970375
"baseline","2.5%",0.004629467024013456,1.421158088,61,119.23053542738195
"baseline","2.5%",0.004629467024013456,1.421158088,62,39.204453612306025
"baseline","2.5%",0.004629467024013456,1.421158088,63,199.99570693146202
"baseline","2.5%",0.004629467024013456,1.421158088,64,100.83416010294066
"baseline","2.5%",0.004629467024013456,1.421158088,65,4.826714879293779
"baseline","2.5%",0.004629467024013456,1.421158088,66,54.702938878750366
"baseline","2.5%",0.004629467024013456,1.421158088,67,131.0667126500653
"baseline","2.5%",0.004629467024013456,1.421158088,68,901.870438212955
"baseline","2.5%",0.004629467024013456,1.421158088,69,60.485892036139504
"baseline","2.5%",0.004629467024013456,1.421158088,70,102.69710960625862
"baseline","2.5%",0.004629467024013456,1.421158088,71,58.46100863108352
"baseline","2.5%",0.004629467024013456,1.421158088,72,258.1101238627593
"baseline","2.5%",0.004629467024013456,1.421158088,73,150.36338580588233
"baseline","2.5%",0.004629467024013456,1.421158088,74,42.4064487651423
"baseline","2.5%",0.004629467024013456,1.421158088,75,121.59670534776573
"baseline","2.5%",0.004629467024013456,1.421158088,76,86.87382869813489
"baseline","2.5%",0.004629467024013456,1.421158088,77,132.9034981964445
"baseline","2.5%",0.004629467024013456,1.421158088,78,81.80592957320333
"baseline","2.5%",0.004629467024013456,1.421158088,79,138.40853840988242
"baseline","2.5%",0.004629467024013456,1.421158088,80,95.90099557880815
"baseline","2.5%",0.004629467024013456,1.421158088,81,57.13991739310308
"baseline","2.5%",0.004629467024013456,1.421158088,82,97.8010246507071
"baseline","2.5%",0.004629467024013456,1.421158088,83,61.78948300490885
"baseline","2.5%",0.004629467024013456,1.421158088,84,85.1504889426918
"baseline","2.5%",0.004629467024013456,1.421158088,85,300.3841482215722
"baseline","2.5%",0.004629467024013456,1.421158088,86,303.0247574940927
"baseline","2.5%",0.004629467024013456,1.421158088,87,123.23396030457862
"baseline","2.5%",0.004629467024013456,1.421158088,88,67.16246032571873
"baseline","2.5%",0.004629467024013456,1.421158088,89,123.30907487596637
"baseline","2.5%",0.004629467024013456,1.421158088,90,0.40174954936006396
"baseline","2.5%",0.004629467024013456,1.421158088,91,52.645345226527176
"baseline","2.5%",0.004629467024013456,1.421158088,92,93.0207040229412
"baseline","2.5%",0.004629467024013456,1.421158088,93,199.645111062582
"baseline","2.5%",0.004629467024013456,1.421158088,94,118.72328155257274
"baseline","2.5%",0.004629467024013456,1.421158088,95,100.49906225797287
