iso3,source_region,gross_source_index,residual_added_stock_index,double_counting_risk
CAN,Boreal Canada,1,0.95,medium
RUS,Siberia and Far East Russia,1,0.95,medium
USA,Alaska / western United States,0.55,0.45,medium
BRA,Amazon and Cerrado,0.45,0.2,high
BOL,Amazon and Cerrado,0.45,0.2,high
PER,Amazon and Cerrado,0.35,0.16,high
COL,Amazon and Cerrado,0.3,0.14,high
VEN,Amazon and Cerrado,0.3,0.14,high
PRY,Amazon and Cerrado,0.3,0.14,high
ARG,South American fire/grassland margin,0.22,0.1,high
COD,Congo basin and southern Africa,0.35,0.15,high
COG,Congo basin and southern Africa,0.35,0.15,high
CAF,Congo basin and southern Africa,0.3,0.13,high
CMR,Congo basin and southern Africa,0.28,0.12,high
GAB,Congo basin and southern Africa,0.26,0.11,high
AGO,Congo basin and southern Africa,0.34,0.15,high
ZMB,Congo basin and southern Africa,0.32,0.14,high
MOZ,Congo basin and southern Africa,0.28,0.12,high
TZA,Congo basin and southern Africa,0.26,0.11,high
ZAF,Congo basin and southern Africa,0.22,0.1,high
IDN,Indonesia and peat Southeast Asia,0.5,0.2,high
MYS,Indonesia and peat Southeast Asia,0.35,0.14,high
PNG,Indonesia and peat Southeast Asia,0.3,0.12,high
AUS,Australia,0.4,0.2,medium
ESP,Mediterranean Europe,0.25,0.15,high
PRT,Mediterranean Europe,0.25,0.15,high
FRA,Mediterranean Europe,0.18,0.1,high
ITA,Mediterranean Europe,0.22,0.13,high
GRC,Mediterranean Europe,0.24,0.14,high
TUR,Mediterranean Europe,0.22,0.12,high
